source,source_accession,title,discovery_score,query_hits,geo_accessions,ena_study_accessions,ena_project_accessions,biosample_accessions,expression_atlas_accessions,biostudies_url,ftp_link,relationship_role,independence_note
BIOSTUDIES_ARRAYEXPRESS,E-GEOD-16716,Transcription profiling by array of human neuroblastomas: MAQC-II project quality control phase II,70,"""HER2"" AND trastuzumab AND resistance",GSE16716|GSE20194,,,,E-GEOD-16716,https://www.ebi.ac.uk/biostudies/studies/E-GEOD-16716,ftp://ftp.ebi.ac.uk/biostudies/fire/E-GEOD-/716/E-GEOD-16716,EXTERNAL_DISCOVERY_LEAD,Cross-database mirrors must not be counted as independent validation datasets.
BIOSTUDIES_ARRAYEXPRESS,E-GEOD-20194,MAQC-II Project: human breast cancer (BR) data set,70,"""HER2"" AND trastuzumab AND resistance",GSE20194,,,,E-GEOD-20194,https://www.ebi.ac.uk/biostudies/studies/E-GEOD-20194,ftp://ftp.ebi.ac.uk/biostudies/fire/E-GEOD-/194/E-GEOD-20194,EXTERNAL_DISCOVERY_LEAD,Cross-database mirrors must not be counted as independent validation datasets.
BIOSTUDIES_ARRAYEXPRESS,E-GEOD-44272,The Long-HER Study,70,"""HER2"" AND trastuzumab AND resistance",GSE44272,,,,E-GEOD-44272,https://www.ebi.ac.uk/biostudies/studies/E-GEOD-44272,ftp://ftp.ebi.ac.uk/biostudies/fire/E-GEOD-/272/E-GEOD-44272,EXTERNAL_DISCOVERY_LEAD,Cross-database mirrors must not be counted as independent validation datasets.
BIOSTUDIES_ARRAYEXPRESS,E-GEOD-70233,caArray_harri-00137: Predictors of Resistance to Preoperative Trastuzumab and Vinorelbine for HER2-Positive Early Breast Cancer,70,"""HER2"" AND trastuzumab AND resistance || ""HER2-positive"" AND breast AND resistance",GSE70233,,,,E-GEOD-70233,https://www.ebi.ac.uk/biostudies/studies/E-GEOD-70233,ftp://ftp.ebi.ac.uk/biostudies/fire/E-GEOD-/233/E-GEOD-70233,EXTERNAL_DISCOVERY_LEAD,Cross-database mirrors must not be counted as independent validation datasets.
BIOSTUDIES_ARRAYEXPRESS,E-GEOD-75367,HER2 expression identifies dynamic functional states within circulating breast cancer cells,65,"""HER2-positive"" AND breast AND resistance",GSE75367,SRP066632,,,E-GEOD-75367,https://www.ebi.ac.uk/biostudies/studies/E-GEOD-75367,ftp://ftp.ebi.ac.uk/biostudies/fire/E-GEOD-/367/E-GEOD-75367,EXTERNAL_DISCOVERY_LEAD,Cross-database mirrors must not be counted as independent validation datasets.
BIOSTUDIES_ARRAYEXPRESS,E-GEOD-11293,Investigation of gene expression signature induced by Alk5TD (active type I TGF-beta receptor),63,BT474 AND trastuzumab,GSE11293,,,,E-GEOD-11293,https://www.ebi.ac.uk/biostudies/studies/E-GEOD-11293,ftp://ftp.ebi.ac.uk/biostudies/fire/E-GEOD-/293/E-GEOD-11293,EXTERNAL_DISCOVERY_LEAD,Cross-database mirrors must not be counted as independent validation datasets.
BIOSTUDIES_ARRAYEXPRESS,E-GEOD-16446,Predicting the efficacy of anthracyclines in breast cancer (BC) patients: The results of the TOP trial,60,"""HER2-positive"" AND breast AND resistance",GSE16446,,,,E-GEOD-16446,https://www.ebi.ac.uk/biostudies/studies/E-GEOD-16446,ftp://ftp.ebi.ac.uk/biostudies/fire/E-GEOD-/446/E-GEOD-16446,EXTERNAL_DISCOVERY_LEAD,Cross-database mirrors must not be counted as independent validation datasets.
BIOSTUDIES_ARRAYEXPRESS,E-MTAB-12224,Decitabine-induced DNA methylation-mediated transcriptomic reprogramming in human breast cancer cell lines,60,"""trastuzumab resistant"" AND breast",,ERP141485,,,E-MTAB-12224,https://www.ebi.ac.uk/biostudies/studies/E-MTAB-12224,ftp://ftp.ebi.ac.uk/biostudies/fire/E-MTAB-/224/E-MTAB-12224,EXTERNAL_DISCOVERY_LEAD,Cross-database mirrors must not be counted as independent validation datasets.
BIOSTUDIES_ARRAYEXPRESS,E-GEOD-69017,caArray_gray-00215: A collection of breast cancer cell lines for the study of functionally distinct cancer subtypes,56,BT474 AND trastuzumab || SKBR3 AND trastuzumab,GSE69017,,,,E-GEOD-69017,https://www.ebi.ac.uk/biostudies/studies/E-GEOD-69017,ftp://ftp.ebi.ac.uk/biostudies/fire/E-GEOD-/017/E-GEOD-69017,EXTERNAL_DISCOVERY_LEAD,Cross-database mirrors must not be counted as independent validation datasets.
BIOSTUDIES_ARRAYEXPRESS,E-MTAB-12225,Decitabine-induced DNA methylation-mediated transcriptomic reprogramming in human breast cancer cell lines,55,"""trastuzumab resistant"" AND breast",,,,,E-MTAB-12224|E-MTAB-12225,https://www.ebi.ac.uk/biostudies/studies/E-MTAB-12225,ftp://ftp.ebi.ac.uk/biostudies/fire/E-MTAB-/225/E-MTAB-12225,EXTERNAL_DISCOVERY_LEAD,Cross-database mirrors must not be counted as independent validation datasets.
BIOSTUDIES_ARRAYEXPRESS,E-GEOD-16179,BT474 and BT474-J4 microarray data,53,"""HER2-positive"" AND breast AND resistance",GSE16179,,,,E-GEOD-16179,https://www.ebi.ac.uk/biostudies/studies/E-GEOD-16179,ftp://ftp.ebi.ac.uk/biostudies/fire/E-GEOD-/179/E-GEOD-16179,EXTERNAL_DISCOVERY_LEAD,Cross-database mirrors must not be counted as independent validation datasets.
BIOSTUDIES_ARRAYEXPRESS,E-GEOD-38008,"AT13148 is a novel, oral multi-AGC kinase inhibitor with potent pharmacodynamic and antitumor activity",53,"""HER2-positive"" AND breast AND resistance",GSE38008,,,,E-GEOD-38008,https://www.ebi.ac.uk/biostudies/studies/E-GEOD-38008,ftp://ftp.ebi.ac.uk/biostudies/fire/E-GEOD-/008/E-GEOD-38008,EXTERNAL_DISCOVERY_LEAD,Cross-database mirrors must not be counted as independent validation datasets.
BIOSTUDIES_ARRAYEXPRESS,E-GEOD-52707,Nuclear factor kappa B activation-induced anti-apoptosis renders HER2 positive cells drug resistant and accelerates tumor growth,53,"""HER2-positive"" AND breast AND resistance || ""anti-HER2"" AND resistance AND breast",GSE52707,,,,E-GEOD-52707,https://www.ebi.ac.uk/biostudies/studies/E-GEOD-52707,ftp://ftp.ebi.ac.uk/biostudies/fire/E-GEOD-/707/E-GEOD-52707,EXTERNAL_DISCOVERY_LEAD,Cross-database mirrors must not be counted as independent validation datasets.
BIOSTUDIES_ARRAYEXPRESS,E-GEOD-41656,Gene expression analysis of a series of HER2+ of breast tumors,45,"""HER2-positive"" AND breast AND resistance",GSE41656,,,,E-GEOD-41656,https://www.ebi.ac.uk/biostudies/studies/E-GEOD-41656,ftp://ftp.ebi.ac.uk/biostudies/fire/E-GEOD-/656/E-GEOD-41656,EXTERNAL_DISCOVERY_LEAD,Cross-database mirrors must not be counted as independent validation datasets.
BIOSTUDIES_ARRAYEXPRESS,E-GEOD-67193,Transcriptomic signatures of Auger electron radioimmunotherapy using nuclear targeting 111In-trastuzumab for potential combination therapies,38,SKBR3 AND trastuzumab,GSE67193,,,,E-GEOD-67193,https://www.ebi.ac.uk/biostudies/studies/E-GEOD-67193,ftp://ftp.ebi.ac.uk/biostudies/fire/E-GEOD-/193/E-GEOD-67193,EXTERNAL_DISCOVERY_LEAD,Cross-database mirrors must not be counted as independent validation datasets.
